username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Logan Hall,983108315466162178,"Dallas, TX",2023-01-20 02:48:19,"immediately after saint floyd’s death before the nationwide BLM extortion riots, nikki haley proclaimed “in order t… https://t.co/fkgF25mGtW",2,Twitter for iPhone,
Tuesday,30842935,"Plano, TX",2023-01-20 02:47:46,@Stuuude @falco @Genesis_Smash @dang3r_blm THEY'RE HOPING I DON'T SHOW UP FR.,0,Twitter for iPhone,
Michael Taylor,1587566398133379076,"Dallas, TX",2023-01-20 02:24:54,@LibFails Chauvin had a blm activist as a juror who lied about his affiliation. He deserves a retrial.,0,Twitter for iPhone,
Nate Fischer,21839417,"Dallas, TX",2023-01-20 00:50:37,@KeenanPeachy (After leaving our church he became a BLM activist.),0,Twitter for iPhone,
MVPentrepreneur,944153625248481281,"Dallas, TX",2023-01-19 23:58:55,"@Tuli49831072 @MiaCathell Agreed. 

But That’s also like saying “Stop pointing out certain members in BLM from bein… https://t.co/bTBCOvkWc6",0,Twitter for iPhone,
OnComics,11382442,"Dallas, TX",2023-01-19 22:10:56,"@Todd_Peterson_1 In light of the pedophilia news that has come to light this week, I think pride flag can be tabled… https://t.co/lHmHBVKbLD",0,Twitter Web App,
Jacob Minter,414209202,"Garland, TX",2023-01-19 20:41:30,@CalltoActivism Yes. But only because I have successfully conditioned some racist acquaintances into being more acc… https://t.co/zEpJMI74CM,0,Twitter for Android,
the ghost of Blonde,1586135210592280582,"Dallas, TX",2023-01-19 19:34:56,"@MulattaLoca We have a few churches here in Dallas displaying BLM shit and pride flags too
Smdh",0,Twitter for Android,
Jana Gegone,1519835217963454464,,2023-01-19 19:03:08,The anti establishment conservative talking heads sure know how to grift!  No difference banking off BLM vs Donald… https://t.co/HnavZjE626,0,Twitter for iPhone,
Gangsta Granny 🌊🇺🇦💙🌻,4888780694,Dallas,2023-01-19 17:52:13,"@CandyisDandy100 @KevinMa69303102 I've cut off the racist side of my family. I WILL, #BeTheChange in this family!!… https://t.co/1Ngfxl3NEh",3,Twitter Web App,
SemperReloaded,984802919542329344,"Dallas, TX",2023-01-19 17:51:40,"@Tactical_review Did he just refer to the BLM protests as ""a riot""?  BASED.",0,Twitter Web App,
Gangsta Granny 🌊🇺🇦💙🌻,4888780694,Dallas,2023-01-19 17:08:54,"@AreWeThereYet35 @MajorFactor2 @FedEx HE-HE-HE-HE!!! Folks you know what to do!!! 😉😁😤

#BLM 
#EqualityForAll https://t.co/YDgEz7gpOs",0,Twitter Web App,
Jose Dolores 🇮🇪☭🇷🇺☸🇨🇳,1258842824147005440,"Dallas, TX",2023-01-19 16:36:48,"@ArtAHammer ... that's how they killed my cousin.
11 had heart attacks.
14 couldn't stay out of traffic.
6 couldn't… https://t.co/s6v0HaYlyn",0,Twitter for Android,
Mike Mills,1594442447618203648,"Dallas, TX",2023-01-19 15:56:44,@MikeTaddow You have BLM in your bio. Nothing you say matters.,0,Twitter for iPhone,
Winston Wolfe,880811478030454785,"Dallas, TX",2023-01-19 15:39:26,"@ProudElephantUS sure, if you want the BLM crowd  in Minneapolis to ""peacefully"" burn there own town down again",0,Twitter Web App,
Barbosa,1524148898322866182,"Dallas, TX",2023-01-19 14:39:10,"@checkmatestate Nope He’s being trained how to handle a weapon properly for self defense, not  how to kill for pers… https://t.co/A2d1xIX1uy",0,Twitter for iPhone,
James Stephan,1548051068340252673,"Dallas, TX",2023-01-19 14:05:21,"@DC_Draino Absolutely, if we can’t pray, showing support to and for our beliefs, neither should they them shim it o… https://t.co/e7KYJlAHEj",0,Twitter for iPhone,
Brad Wellington,1611504324688990208,DFW,2023-01-19 13:23:50,"@CalltoActivism BLM, Antifa, Democrat Party.  The basic losers in America.",0,Twitter for Android,
JAYE_MO,222203750,"Dallas, TX",2023-01-19 07:42:45,"@bmhochberg @laurenboebert It’s a freaking t-shirt.  It voices his personal beliefs. Don’t like it, don’t look. No… https://t.co/zHUu6QCUEg",0,Twitter for iPhone,
Michael Based,1516606875151876104,"Grand Prairie, TX",2023-01-19 06:49:21,@RepJeffries Denounce BLM right now?,1,Twitter for iPhone,
1.f3,1412007852,"DFW, TX",2023-01-19 04:50:35,"@AugustinaJJD @shantyXman @chrislhayes Hey check out this thing I made up to be scared of today...

Migrant caravan… https://t.co/QGI5vc28HU",0,Twitter for Android,
Kirk Brown,3319407199,"Arlington, TX",2023-01-19 04:06:34,@UsaPete2 BLM how does it feel to want? We don't owe you anything.,1,Twitter for Android,
888🦋,1325680984256376833,"Dallas, TX",2023-01-19 01:32:54,not all black people have to support blm &amp; dislike/disagree w everything trump says or does.,1,Twitter for iPhone,
Jorlaxe,1610402707986124800,"Plano, TX",2023-01-19 00:46:33,@POTUS Pretty sure most of those “new” businesses were the ones that got shut down for the coof.  And the ones destroyed in the BLM riots.,0,Twitter for iPhone,
North American-American,1601662666904403968,"Dallas, TX",2023-01-18 23:51:35,"@CollinRugg #BLM itself should be banned.  They're criminal and do not stand for any race. 

Gay...well...no flags… https://t.co/Li0An1SUZ0",0,Twitter Web App,
SHRESTHA बिकेश🇳🇵🇺🇸,347036174,"Texas, USA",2023-01-18 23:51:19,@Edwin07011 Where is BLM ✊🏽 activists? Where is the outrage? Or it’s just when it benefit them only 🤷‍♂️,0,Twitter for iPhone,
Linda From Texas,759179340307243009,"Dallas, TX",2023-01-18 23:23:07,@RepMTG MAGA Super Trump supporter attended 1/6 up for 16 FELONY CHARGES on 4 House members who are Democrats after… https://t.co/Gr2BcZI0mX,3,Twitter for Android,
Misty Griffin,913819271246995457,"Dallas, TX",2023-01-18 23:17:27,"@EarlyBlackwood @JeffOnTheRight 💯
BLM AND the entire Democrat Party! That's why the Democrat Party created and promoted BLM.",0,Twitter for Android,
Misty Griffin,913819271246995457,"Dallas, TX",2023-01-18 22:55:55,@EarlyBlackwood @JeffOnTheRight I'm not against the idea of reparations. I'm against the trickery of the Democrat P… https://t.co/lm82AWE7pF,0,Twitter for Android,
Jason Gordon 🇺🇸,1123615378926657537,"Arlington, TX",2023-01-18 22:51:34,"If you have a BLM sticker on the back of your vehicle, just know you’re a loser.",0,Twitter for iPhone,
Stan Allen,20095114,Dallas,2023-01-18 22:42:59,@RepJeffries You mean like the BLM riots?,0,Twitter for Android,
Samuel,1570421399340158980,"Richardson, TX",2023-01-18 22:10:09,@Jambtik @StopAntisemites @RepRashida @StateDept @POTUS @RashidaTlaib @IlhanMN How come also the Black Supremacy le… https://t.co/HR1jmOKcMh,0,Twitter for iPhone,
Nola Naomi 🫦,744375591722434560,"Dallas,Texas📍",2023-01-18 21:42:05,@GxldSociety 😭😭this thread got me in tear it’s the blm in the bio and in the young black man home and the 👵🏻,0,Twitter for iPhone,
skineywhite,1596517630772379652,"Dallas, TX",2023-01-18 21:07:20,@CollinRugg Ban gay pride and BLM flags.,0,Twitter for iPhone,
Rotorist (Prosecute/Fauci),3110997530,"Dallas, TX",2023-01-18 21:07:09,@ApostateHymnals @CollinRugg blm and lgbt are a religion. because they cannot be wrong. nobody is allowed to criticize them.,0,Twitter for iPhone,
🇺🇸 Actually I prefer Gin 🏴‍☠️,1095530885275942912,"DFW, TX",2023-01-18 20:52:07,@RepJeffries I have never heard you condemn Antifa / BLM violence 🤷‍♂️,0,Twitter for iPhone,
Deplorable Batch,1379433868307046400,"Forney, TX",2023-01-18 19:14:31,@AmenWokeJesus @NoLieWithBTC @MeidasTouch BLM - Democrats / Portland riots- Democrats / all George Floyd riots - De… https://t.co/yj0tCQc583,0,Twitter for iPhone,
Willysage,1353886119591600128,"Dallas, TX",2023-01-18 19:04:32,@Gloss80Official @ZachWLambert Not on the right. Just hate liars and false narratives. BLM is a racist and corrupt… https://t.co/PhWP8bV7gi,0,Twitter for Android,
Liberalphobia,1488943147581378565,Dallas,2023-01-18 19:03:10,@RepJeffries Did I miss where you denounced BLM and ANTIFA?,0,Twitter Web App,
AJBPDD,1362449788143165446,"Dallas, TX",2023-01-18 18:51:33,@livewithneve @BillEllmore White supremacy groups were the antagonist at the blm protest. Like they said about anti… https://t.co/wQAQhKAWtr,0,Twitter for Android,
ITGeekMonkeys,421328060,"Dallas, TX",2023-01-18 18:31:51,"When will true sports fans dump the woke, pandering professional leagues? The #NFL, #NHL, #NBA and the #MLB have sh… https://t.co/ratmnaV6m2",1,Twitter Web App,
AJBPDD,1362449788143165446,"Dallas, TX",2023-01-18 17:52:51,@livewithneve @BillEllmore People who were caught on video have been prosecuted and like I said 80% OF BLM protest… https://t.co/aFtVIE8QlN,0,Twitter for Android,
AJBPDD,1362449788143165446,"Dallas, TX",2023-01-18 17:47:31,"@miracledan59 @BillEllmore Same people at both. Their were 80% Caucasian at a blm protest
😳
https://t.co/U7lhItAGnn",0,Twitter for Android,
Kirk Brown,3319407199,"Arlington, TX",2023-01-18 17:20:50,@MayoIsSpicyy Oh BS. Are you saying that BLM and ANTIFA support the GOP?,0,Twitter for Android,
Willysage,1353886119591600128,"Dallas, TX",2023-01-18 17:15:31,@Gloss80Official @ZachWLambert I do stand against racism. Including the racists BLM leaders.,0,Twitter for Android,
John McMahan / TBL LE MC Trapper,2732714101,"Carrollton, TX ",2023-01-18 16:21:08,@TheBadBeaner I want reparations for all the damages that the BLM movement has caused over the last 3 or 4 years!,0,Twitter Web App,
@RLTW6,1586149328929931264,"Dallas, TX",2023-01-18 15:55:04,@RepJeffries Did you denounce the BLM violence? https://t.co/nqtNCeN715,0,Twitter for iPhone,
Erin Silence🏳️‍⚧️🏳️‍🌈,741910649119199232,"Dallas, TX",2023-01-18 15:19:04,"This right here. When an organization does a Pride night, BLM night, or any other theme night and a player refuses… https://t.co/YnLMWcga9x",0,Twitter for Android,
John McMahan / TBL LE MC Trapper,2732714101,"Carrollton, TX ",2023-01-18 14:58:24,@RepJeffries Now let's talk about BLM.,0,Twitter Web App,
ProudAFBrat 🇺🇸,1352766123649990657,"Dallas, TX",2023-01-18 14:15:33,@GSwarthout @ReaITrumpNews You mean like when we believed the COVID “vaccine” wouldn’t prevent transmission? Or whe… https://t.co/6Pg1lJxeiC,0,Twitter for iPhone,
John McMahan / TBL LE MC Trapper,2732714101,"Carrollton, TX ",2023-01-18 14:14:43,@TexasExtremist I want reparations for all the damages that the BLM movement has caused over the last 3 or 4 years!,0,Twitter Web App,
Dr. Goodbelle,1459184379918532611,"Dallas, TX",2023-01-18 11:07:08,@RepJeffries Oops don’t tell that to BLM you incredible derp https://t.co/G0R7vTW3xP,0,Twitter for iPhone,
CarGam 🇺🇸,1471644885434384393,"Dallas, TX",2023-01-18 04:55:32,"@ClownWorld_ “No problems, you can get a BLM tee shirt and we’re fine with that”",0,Twitter for iPhone,
Michaela,1309316216033550336,"University Park, TX",2023-01-18 03:03:09,"🤬 TRAITORS &amp; TREASONISTS! 
👎🏼👎🏼👎🏼 https://t.co/Us3SWthP4s",0,Twitter for iPhone,
ya,2670390999,"Dallas, TX",2023-01-18 02:35:27,"@KaitlynQ2002 @theprism89 @POTUS @warriors Oh god BLM THE GAYS AND UKRAINE. You are their demo, way to go",0,Twitter for iPhone,
Antavius Anti Draughn,258080241,"Dallas, TX",2023-01-18 02:19:48,I'm literally in the same room with the iconic #AngelaDavis #BLM #Amazing,0,Twitter for Android,
Vicki Isaacks,285457657,"Near Dallas, TX",2023-01-18 02:02:13,@DJSPELL33 @charliekirk11 You mean Antifa and BLM?,0,Twitter for iPhone,
MotorMouthMark,1389258023194054661,"Dallas, Texas",2023-01-18 01:34:36,"This has been the objective all along? Find a justification to steal and be the thugs they are!! By they, In refer… https://t.co/rk6IFUH8r4",0,Twitter for Android,
Stawicki Photography,1714237812,"Dallas, Texas",2023-01-18 01:01:42,@kangaroos991 I'll take him over BLM or anything related!,0,Twitter Web App,
SHRESTHA बिकेश🇳🇵🇺🇸,347036174,"Texas, USA",2023-01-17 21:40:09,@LayahHeilpern What about BLM ✊🏿?,0,Twitter for iPhone,
Roger A Wilbanks💬 POST: @RogerAWilbanks,222195738,"Dallas, TX",2023-01-17 21:13:46,The irony behind all of the MAGA folks throwing down MLK quotes yesterday when if he were alive today they would be… https://t.co/8Vr5OSbFHC,10,Twitter for Android,
E Lwing,2363441936,"Dallas, TX",2023-01-17 20:33:53,@KateCagle @SpecNews1SoCal Cullors and BLM has zero credibility!,0,Twitter for iPhone,
Rose 🔴👄🔴,36825880,"Dallas, TX",2023-01-17 20:20:43,"@JarJarFan69 Putting aside the fact that we all learned this in Middle School/High School, does he think the people… https://t.co/r1nCazpFlW",0,Twitter Web App,
TAYLOR,235033929,"Dallas, TX",2023-01-17 20:16:22,That first pic can’t be real. Who would ever suggest a giant hair pick for a blm statue? https://t.co/Nni7kol9LH,0,Twitter for iPhone,
Joshua Guevara,264705818,"Dallas, TX",2023-01-17 20:01:27,@ovoid @voteshekar @Esqueer_ During the blm riots and protests?,0,Twitter for Android,
Joshua Guevara,264705818,"Dallas, TX",2023-01-17 19:47:19,@thepearlbrady @voteshekar Did you make the same observation and complaint during the blm riots?,0,Twitter for Android,
Former Ye stan/thanks for Graduation,597653891,"Arlington, TX",2023-01-17 18:57:07,@jadedspicee This is exactly what happened with “woke” and “blm” they co-opted the words and now the right uses the… https://t.co/xnT0Jd2aPq,0,Twitter for iPhone,
@amuse,4239551,"Dallas, TX",2023-01-17 15:38:03,@CharlieKramarz @mallofamerica @JonathanTurley @AlanDersh The rules vary state-by-state. The Supreme Court conclude… https://t.co/AByrXS80eU,0,Twitter Web App,
Cam Kirmser,1013353628,"DFW, Texas",2023-01-17 14:25:09,"But, black supremacy hate crimes are perfectly acceptable.
@JacksonLeeTX18 #BLM #BlackSupremacy #HateCrime
https://t.co/aGCajPLSLU",1,Twitter Web App,
BLM69,3119031722,Dallas TX,2023-01-17 14:18:16,@bob_freyer @Mule_Rock @GioBruno1600 The 280z was never offered as a convertible from the factory,0,Twitter Web App,
Jason Billings,60201115,"Dallas, TX",2023-01-17 14:12:15,"@Victorshi2020 Yeah, it’s just groups like BLM keeping MLK’s legacy in tact. U know with all that violence, looting… https://t.co/jYLIUIPI3a",0,Twitter for iPhone,
Chancefrank,1599247567270957056,"Dallas, TX",2023-01-17 13:00:33,@blueheartedly Sure when ANTIFA and BLM are on there as well,0,Twitter for iPhone,
GinaMaria,1600343876623114240,"Dallas, TX",2023-01-17 12:28:48,@WoodrowForCO BLM is a farce and scam. Follow the money... No black communities benefitted from the millions donate… https://t.co/xDsppKib7r,0,Twitter for Android,
Bernard Silverman,22897055,"Dallas, TX",2023-01-17 11:38:53,"@lindyli The same people who decided to pick on Dr. Fauci also target BLM, CRT, misinterpreted ""wokeness"" and a bun… https://t.co/PtC5nqL3ku",6,Twitter Web App,
Pete Altera,1577493055921422338,"Dallas, Texas",2023-01-17 10:13:14,"@realMikeLindell Get rid of that ugly mush. Makes you look like BLM!

I hope you become RNC chair!  Good Luck!",0,Twitter Web App,
Sam,2752231427,,2023-01-17 06:39:02,@LinReddehase @ToThEmOOn4Me @CPhenom69 Kate doesn’t look or sound like BLM at all! She was and is being transparent… https://t.co/KHIKWolthO,0,Twitter for iPhone,
SheEspn,385539470,"Dallas, TX",2023-01-17 06:07:54,"@NatGeoPR I love this show. Catching up on episode about White Supremacists - terrible. Yet, would ask a show on re… https://t.co/vbbxfp4gXV",0,Twitter for iPhone,
Freeze,3153078510,"Dallas, TX",2023-01-17 05:45:06,@hasanthehun Chinese company banning for BLM promotion shouldn’t be a surprise tbh,0,Twitter for iPhone,
TheBlaze,10774652,"Dallas, TX",2023-01-17 03:30:32,Twitter excoriates Adam Schiff for posting misleading video of arrest of BLM founder's cousin that led to his death https://t.co/ybLrqo5ukd,45,dlvr.it,
BLM69,3119031722,Dallas TX,2023-01-17 03:23:25,@LockerRoomLOL That makes me soft 😆,0,Twitter Web App,
BLM69,3119031722,Dallas TX,2023-01-17 03:19:18,"@G1CAM Good plan, bad execution 😂",0,Twitter Web App,
BLM69,3119031722,Dallas TX,2023-01-17 03:07:00,"@betcheswildin The best ass I've ever seen in Texas was at a Walmart, about 5 years back 😆",0,Twitter Web App,
BLM69,3119031722,Dallas TX,2023-01-17 03:04:51,@RealMattCouch Youngsters gotta learn the hard way,0,Twitter Web App,
"Rev. Kate Morgan, M.A. TESOL 🌾🥜🌱🍎🥭🌶🌵🇺🇳🧼",1222416324049145856,Dallas ,2023-01-17 03:01:07,"https://t.co/YmQ0digav7

I’m satisfied only the Bush line might know our memento Mori and I’m satisfied I was a hig… https://t.co/RpKDGmSEyZ",0,Twitter Web App,
Carl,1151879386985062400,"Dallas, TX",2023-01-17 03:01:00,"@FoxNews By activist, you mean radical leftist blm wack jobs.",0,Twitter for Android,
BLM69,3119031722,Dallas TX,2023-01-17 02:59:49,@DailyLoud That's more than she made her whole rap career,0,Twitter Web App,
TheBlaze,10774652,"Dallas, TX",2023-01-17 02:48:32,Twitter excoriates Rep. Adam Schiff for posting a misleading video of the arrest of BLM founder's cousin that led t… https://t.co/yDY5BtoLf3,51,Buffer,
Michaela,1309316216033550336,"University Park, TX",2023-01-16 20:45:33,"ACTION!:  ⭐️ CALL YOUR CONGRESSPERSONS &amp; TELL THEM TO EXPELL RACIST SHEILA JACKSON-LEE! 
- she is one EVIL POS!

‘R… https://t.co/oSXs2knmiP",0,Twitter for iPhone,
Michaela,1309316216033550336,"University Park, TX",2023-01-16 20:29:26,"- 🤬 These are some sick MF’s at the WEF (world economic forum)!!
- And you want these Bastards to control our lives… https://t.co/uUuO75phIX",0,Twitter for iPhone,
Michaela,1309316216033550336,"University Park, TX",2023-01-16 19:46:47,"Soros &amp; Schwab sick?
Or,…
If not, … if I were one of those people at the WEF, I’d be worried.
😮 https://t.co/xcvCJtUufp",0,Twitter for iPhone,
Lonnie Walker 🇺🇸,281895726,"Abilene, Texas",2023-01-16 19:30:46,"@hakeemjeffries Even if what you say happened, democrats have far worse stains on them.  They are the party that started the KKK and BLM.",0,Twitter for Android,
TTL,1497422915394056193,"Dallas, TX",2023-01-16 19:21:27,@ericareport Floyd started the burning of our cities by BLM... another corrupted entity https://t.co/Um3gzxeoF8,0,Twitter for iPhone,
Red Eagle Politics,1089308757035794432,DFW,2023-01-16 19:19:01,Glad to see less conservatives than there were in years past openly blindly revering a Marxist today who would be s… https://t.co/Sw35LPBsgS,35,Twitter for iPhone,
Michaela,1309316216033550336,"University Park, TX",2023-01-16 19:13:59,"⭐️ PLEASE HELP DONATE! ⭐️
Even if it’s $5. 🙏🏼
❤️‍🩹
I just donated. These people are Angels!! 😇… https://t.co/0fv3sXZSAE",0,Twitter for iPhone,
Michaela,1309316216033550336,"University Park, TX",2023-01-16 18:41:51,"⭐️⭐️ TAKE A LOOK AT THIS !!
Wow!!!
- OUR COUNTRY HAS A HUGE FINANCIAL PROBLEM !!
🤬🤬  BIDEN &amp; CONGRESS ARE KEEPING I… https://t.co/m7d14vLljf",0,Twitter for iPhone,
Michaela,1309316216033550336,"University Park, TX",2023-01-16 18:28:34,"⁉️ Do you have a Tracking Device on your vehicle that you don’t know about ??
and ⁉️ Does it have an Ignition Power… https://t.co/i41C10lugA",0,Twitter for iPhone,
Michaela,1309316216033550336,"University Park, TX",2023-01-16 18:11:17,@JamesMelville Bafoon &amp; not our legal president.,0,Twitter for iPhone,
Michaela,1309316216033550336,"University Park, TX",2023-01-16 18:10:38,"⭐️⭐️ 30 minutes WORTH YOUR TIME!! ❤️‍🩹❤️‍🩹
- The TRUTH about CLIMATE CHANGE! 🙏🏼🙏🏼

https://t.co/1IFdnfQB5H",0,Twitter for iPhone,
C B,1494078583601569796,DFW TEXAS,2023-01-16 17:39:41,@realDailyWire @benshapiro How dare you pay attention to what the elites are doing! You should be a good mind slave… https://t.co/nvQktLENO9,0,Twitter for Mac,
BX (XRP) 🤷🏾‍♂️,185037668,"Dallas, TX",2023-01-16 17:04:56,"@libsoftiktok Fake outrage. 

Although i'm black, I'm wise enough to know BLM has been overthrown by radical leftis… https://t.co/I14W4gPcoQ",0,Twitter Web App,
Warpath2022,1595477985615831042,"Dallas, TX",2023-01-16 16:22:26,"@RepAdamSchiff As usual, Liddle Adam Schiff, is only providing the public a section of the #KeenanAnderson arrest v… https://t.co/5XeAobGvqW",0,Twitter Web App,
@amuse,4239551,"Dallas, TX",2023-01-16 15:35:47,On this day of remembrance let us commit to stop judging people by the color of their skin and instead judge them b… https://t.co/BkiTWf1MHd,22,Twitter Web App,
jsr72748,17608829,Dallas,2023-01-16 15:23:54,Anyone can be memorialized when they no longer pose a threat. SCLC in 1960s is what BLM is today; continued struggl… https://t.co/VtZFfRE0dw,0,Twitter for iPhone,
"Dyezz Surveillance & Access, Inc.",1270863088221290496,"Dallas, TX",2023-01-16 15:00:48,"Martin Luther King Jr. Day 

#martinlutherking #mlk #blacklivesmatter #martinlutherkingjr #malcolmx #mlkday… https://t.co/E9I3m3ruE8",0,SocialPilot.co,
HullabalooChaosRagnarok,1174189509434576896,"Dallas, TX",2023-01-16 14:41:58,@Ms_TayTae @ninjalilith @youlovemil Actually some states passed laws that you can hit ppl blocking traffic in the s… https://t.co/piO5lbSNsJ,0,Twitter for Android,
Joseph Boaz,2815117250,"Dallas, TX",2023-01-16 13:37:35,"@NewDayForNJ @Faithfulone77 I bet they wouldn’t harass him if his shirt said something about blm, Islam, lgbtq, kil… https://t.co/PkTgm8SZml",0,Twitter for iPad,
Mrs. Schemmel,1279229348478943233,"Highland Park, TX",2023-01-16 11:34:38,"@DMohr81048365 @kishyboo22 @DiamondandSilk Unless her sister was muttered by a police officer, I’m confused as to w… https://t.co/IcrlqKafRh",0,Twitter for iPhone,
